"Sr. No.","Meter Sr. No.","R Voltage","Y Voltage","B Voltage","R Current","Y Current","B Current","R PF","Y PF","B PF","Cumm PF","KWh","KVAh","Service Provider","Radius Server Time","Meter Time","Status","Error Reason"
"1","X0456639","6499.48","6443.88","6487.77","0.2","0.19","0.18","0.87","0.86","0.84","0.86","120779","133569.5","SECURE","2024-04-13 23:50:33.0","2024-04-13 23:05:17.0","P","PROCESSED"
"2","X0456639","6475.75","6422.12","6459.42","0.21","0.2","0.2","0.89","0.86","0.85","0.87","120777","133567","SECURE","2024-04-13 23:05:33.0","2024-04-13 22:33:05.0","P","PROCESSED"
"3","X0456639","6482.31","6429.1","6465.18","0.23","0.21","0.21","0.89","0.88","0.87","0.88","120775.5","133565.5","SECURE","2024-04-13 22:30:17.0","2024-04-13 22:01:12.0","P","PROCESSED"
"4","X0456639","6406.26","6356.57","6391.52","0.16","0.15","0.14","0.91","0.93","0.91","0.92","120771","133560","SECURE","2024-04-13 20:50:35.0","2024-04-13 20:18:57.0","P","PROCESSED"
"5","X0456639","6398.23","6351.28","6387.48","0.22","0.21","0.2","0.89","0.89","0.88","0.89","120770","133559","SECURE","2024-04-13 20:30:32.0","2024-04-13 20:00:05.0","P","PROCESSED"
"6","X0456639","6399.89","6354.81","6389.72","0.22","0.21","0.2","0.9","0.89","0.89","0.89","120768.5","133557.5","SECURE","2024-04-13 20:15:20.0","2024-04-13 19:36:32.0","P","PROCESSED"
"7","X0456639","6465.41","6422.75","6460.83","0.13","0.14","0.12","0.84","0.87","0.88","0.86","120765.5","133554.5","SECURE","2024-04-13 19:11:04.0","2024-04-13 18:46:16.0","P","PROCESSED"
"8","X0456639","6478.44","6434.48","6472.45","0.13","0.13","0.11","0.77","0.81","0.78","0.79","120764.5","133553","SECURE","2024-04-13 18:40:37.0","2024-04-13 18:16:42.0","P","PROCESSED"
"9","X0456639","6703.37","6651.35","6686.28","0.22","0.19","0.18","0.73","0.78","0.71","0.74","120763.5","133552","SECURE","2024-04-13 18:30:25.0","2024-04-13 17:54:29.0","P","PROCESSED"
"10","X0456639","6662.22","6617.33","6649.2","0.23","0.21","0.18","0.77","0.84","0.73","0.78","120762.5","133550","SECURE","2024-04-13 18:10:26.0","2024-04-13 17:27:34.0","P","PROCESSED"
"11","X0456639","6506.06","6461.47","6492.28","0.23","0.21","0.18","0.86","0.91","0.84","0.87","120760","133547.5","SECURE","2024-04-13 17:30:42.0","2024-04-13 16:49:38.0","P","PROCESSED"
"12","X0456639","6323.78","6285.95","6311.43","0.2","0.17","0.15","0.91","0.96","0.89","0.92","120759","133546.5","SECURE","2024-04-13 17:10:52.0","2024-04-13 16:28:03.0","P","PROCESSED"
"13","X0456639","6376.51","6333.22","6369.75","0.21","0.21","0.18","0.9","0.93","0.92","0.91","120755.5","133542.5","SECURE","2024-04-13 15:45:32.0","2024-04-13 15:18:23.0","P","PROCESSED"
"14","X0456639","6340.14","6296.27","6332.07","0.22","0.22","0.19","0.92","0.94","0.93","0.93","120754","133541","SECURE","2024-04-13 15:15:18.0","2024-04-13 14:52:18.0","P","PROCESSED"
"15","X0456639","6185.6","6146.31","6179.47","0.24","0.25","0.19","0.94","0.99","0.98","0.97","120748.5","133535","SECURE","2024-04-13 13:00:40.0","2024-04-13 12:24:51.0","P","PROCESSED"
"16","X0456639","6149.16","6118.26","6143.49","0.25","0.24","0.17","0.93","0.99","0.96","0.97","120746","133532.5","SECURE","2024-04-13 12:40:22.0","2024-04-13 11:45:56.0","P","PROCESSED"
"17","X0456639","6119.62","6078.45","6106.31","0.21","0.22","0.16","0.93","0.98","0.96","0.96","120742.5","133529","SECURE","2024-04-13 12:00:26.0","2024-04-13 10:55:13.0","E","PACKET RECIEVED WITH PREVIOUS TIME"
"18","X0456639","6149.98","6110.8","6140.14","0.23","0.22","0.17","0.93","0.99","0.95","0.96","120744","133530.5","SECURE","2024-04-13 12:00:21.0","2024-04-13 11:15:29.0","P","PROCESSED"
"19","X0456639","6135.5","6097.24","6123.86","0.24","0.23","0.17","0.91","0.98","0.93","0.95","120741","133527","SECURE","2024-04-13 11:15:18.0","2024-04-13 10:26:12.0","P","PROCESSED"
"20","X0456639","6165.06","6123.78","6150.58","0.22","0.21","0.15","0.92","0.98","0.92","0.95","120739","133525","SECURE","2024-04-13 11:15:17.0","2024-04-13 09:53:58.0","P","PROCESSED"
"21","X0456639","6163.16","6123.16","6152.27","0.2","0.2","0.15","0.92","0.97","0.94","0.94","120737.5","133523.5","SECURE","2024-04-13 10:30:35.0","2024-04-13 09:26:24.0","P","PROCESSED"
"22","X0456639","6259.63","6219.98","6250.85","0.2","0.21","0.15","0.89","0.96","0.94","0.93","120735.5","133521.5","SECURE","2024-04-13 09:46:06.0","2024-04-13 08:47:21.0","P","PROCESSED"
"23","X0456639","6145.51","6101.02","6135.61","0.16","0.18","0.14","0.92","0.95","0.97","0.95","120734","133519.5","SECURE","2024-04-13 09:45:54.0","2024-04-13 08:15:25.0","P","PROCESSED"
"24","X0456639","6348.06","6303.29","6332.33","0.16","0.16","0.12","0.83","0.92","0.89","0.88","120733","133519","SECURE","2024-04-13 08:50:31.0","2024-04-13 07:53:15.0","P","PROCESSED"
"25","X0456639","6473.03","6427.92","6457.85","0.15","0.16","0.13","0.79","0.85","0.88","0.84","120732","133517.5","SECURE","2024-04-13 08:50:19.0","2024-04-13 07:23:56.0","P","PROCESSED"
"26","X0456639","6599.85","6550.89","6587.3","0.18","0.17","0.16","0.74","0.75","0.73","0.74","120729.5","133514.5","SECURE","2024-04-13 07:55:30.0","2024-04-13 06:15:53.0","E","PACKET RECIEVED WITH PREVIOUS TIME"
"27","X0456639","6573.67","6520.3","6562.36","0.11","0.12","0.1","0.64","0.71","0.71","0.69","120730.5","133516","SECURE","2024-04-13 07:55:24.0","2024-04-13 06:44:15.0","P","PROCESSED"
"28","X0456639","6561.49","6506.86","6547.44","0.18","0.17","0.15","0.78","0.81","0.79","0.79","120729","133513.5","SECURE","2024-04-13 06:55:47.0","2024-04-13 05:55:20.0","P","PROCESSED"
"29","X0456639","6575.23","6523.1","6565.04","0.17","0.17","0.16","0.77","0.74","0.76","0.76","120727","133511","SECURE","2024-04-13 06:55:44.0","2024-04-13 05:14:53.0","P","PROCESSED"
