[2024-08-12T05:53:31.234+0000] {processor.py:161} INFO - Started process (PID=34) to work on /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-08-12T05:53:31.236+0000] {processor.py:830} INFO - Processing file /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py for tasks to queue
[2024-08-12T05:53:31.239+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.239+0000] {dagbag.py:540} INFO - Filling up the DagBag from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-08-12T05:53:31.270+0000] {processor.py:840} INFO - DAG(s) 'dataset_consumes_1_and_2', 'dataset_consumes_1_never_scheduled', 'consume_1_or_2_with_dataset_expressions', 'consume_1_or_both_2_and_3_with_dataset_expressions', 'conditional_dataset_and_time_based_timetable', 'dataset_consumes_unknown_never_scheduled', 'dataset_produces_2', 'dataset_produces_1', 'consume_1_and_2_with_dataset_expressions', 'dataset_consumes_1' retrieved from /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py
[2024-08-12T05:53:31.384+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.384+0000] {dag.py:3096} INFO - Sync 10 DAGs
[2024-08-12T05:53:31.421+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.421+0000] {dag.py:3954} INFO - Setting next_dagrun for conditional_dataset_and_time_based_timetable to 2024-08-07 01:00:00+00:00, run_after=2024-08-07 01:00:00+00:00
[2024-08-12T05:53:31.426+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.426+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_and_2_with_dataset_expressions to None, run_after=None
[2024-08-12T05:53:31.429+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.429+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_2_with_dataset_expressions to None, run_after=None
[2024-08-12T05:53:31.431+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.431+0000] {dag.py:3954} INFO - Setting next_dagrun for consume_1_or_both_2_and_3_with_dataset_expressions to None, run_after=None
[2024-08-12T05:53:31.434+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.434+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1 to None, run_after=None
[2024-08-12T05:53:31.436+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.436+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_and_2 to None, run_after=None
[2024-08-12T05:53:31.439+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.439+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_1_never_scheduled to None, run_after=None
[2024-08-12T05:53:31.442+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.442+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_consumes_unknown_never_scheduled to None, run_after=None
[2024-08-12T05:53:31.445+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.445+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_1 to 2024-08-11 00:00:00+00:00, run_after=2024-08-12 00:00:00+00:00
[2024-08-12T05:53:31.448+0000] {logging_mixin.py:188} INFO - [2024-08-12T05:53:31.447+0000] {dag.py:3954} INFO - Setting next_dagrun for dataset_produces_2 to None, run_after=None
[2024-08-12T05:53:31.510+0000] {processor.py:183} INFO - Processing /home/airflow/.local/lib/python3.12/site-packages/airflow/example_dags/example_datasets.py took 0.284 seconds
